trip_id,service_id,route_id,shape_id,direction_id,trip_headsign,route_short_name,route_long_name
0,0,10400029,10399952,0,Megenagna Terminal,AB097,Megenegna Terminal ↔ Legedadi Mission
1,0,10400029,10399951,1,Legedadi Mission,AB097,Megenegna Terminal ↔ Legedadi Mission
2,0,10400258,10400257,0,Megenagna Terminal,AB101,Megenagna Terminal ↔ Aba Kiros Roundabout
3,0,10400258,10400256,1,Aba Kiros Roundabout,AB101,Megenagna Terminal ↔ Aba Kiros Roundabout
4,0,10400405,10400404,0,Megenagna Terminal,AB049,Megenegna Terminal ↔ Ayat Chefe Condominium
5,0,10400405,10400403,1,Ayat Chefe Condominium,AB049,Megenegna Terminal ↔ Ayat Chefe Condominium
6,0,10406491,10406489,0,Ayat Chefe Condominium,AB083,Ayat Chefe Condominium ↔ 6 Kilo
7,0,10406491,10406490,1,6 Kilo,AB083,Ayat Chefe Condominium ↔ 6 Kilo
8,0,10407732,10407730,0,Kotebe Teachers College,AB010,Kotebe Teachers College ↔ Piassa Arada
9,0,10407732,10407731,1,Piassa Arada,AB010,Kotebe Teachers College ↔ Piassa Arada
10,0,10410198,10410197,0,Piassa Arada,AB009,Piassa Arada ↔ Brass Clinic (Bole)
11,0,10410198,10410196,1,Brass Clinic (Bole),AB009,Piassa Arada ↔ Brass Clinic (Bole)
12,0,10441511,15743389,0,Legehar (Old Train Station),AB061,Legehar (Old Train Station) ↔ Ayat Chefe Condominium
13,0,10441511,10406696,1,Ayat Chefe Condominium,AB061,Legehar (Old Train Station) ↔ Ayat Chefe Condominium
14,0,10458768,10458767,0,Shero Meda,SH027,Shero Meda ↔ Bole Millenium
15,0,10458768,10458766,1,Bole Millenium,SH027,Shero Meda ↔ Bole Millenium
16,0,10460046,10460045,0,Shero Meda,SH028,Shero Meda ↔ Abo Junction
17,0,10460046,10460044,1,Abo Junction,SH028,Shero Meda ↔ Abo Junction
18,0,10460168,10460167,0,Piassa Arada,SH016,Piassa Arada ↔ Abo Junction
19,0,10460168,10460166,1,Abo Junction,SH016,Piassa Arada ↔ Abo Junction
20,0,10460407,10460406,0,Yeka Abado,SH004,Yeka Abado ↔ Megenagna
21,0,10460407,10460405,1,Megenagna,SH004,Yeka Abado ↔ Megenagna
22,0,10460602,10460600,0,Autobis Tera (2),SH010,Autobis Tera (2) ↔ Alem Bank
23,0,10460602,10460601,1,Alem Bank,SH010,Autobis Tera (2) ↔ Alem Bank
24,0,10460963,10460961,0,Mexico,A10,Mexico ↔ Haile Garment
25,0,10460963,10460962,1,Haile Garment,A10,Mexico ↔ Haile Garment
26,0,10461811,10461810,0,Kara Kore,SH040,Kara Kore ↔ Autobis Tera (1)
27,0,10461811,10461809,1,Autobis Tera (1),SH040,Kara Kore ↔ Autobis Tera (1)
28,0,10465903,10465902,0,Yerer Goro,D26,Yerer Goro ↔ Megenagna
29,0,10465903,10465901,1,Megenagna,D26,Yerer Goro ↔ Megenagna
30,0,10466290,10466288,0,Mexico,A24,Mexico ↔ Megenagna
31,0,10466290,10466289,1,Megenagna,A24,Mexico ↔ Megenagna
32,0,10466725,10466723,0,Piassa Arada,C15,Piassa Arada ↔ Mebrat Condominium
33,0,10466725,10466724,1,Mebrat Condominium,C15,Piassa Arada ↔ Mebrat Condominium
34,0,10468435,10535102,0,Sansusi,C14,Sansusi ↔ Piassa Arada
35,0,10468435,10468433,1,Piassa Arada,C14,Sansusi ↔ Piassa Arada
36,0,10469388,10469387,0,Gurara,A08,Gurara ↔ 4 Kilo
37,0,10469388,10469386,1,4 Kilo,A08,Gurara ↔ 4 Kilo
38,0,10478792,10478791,0,Piassa Arada,C31,Piassa Arada ↔ Dil Ber
39,0,10478792,10478790,1,Dil Ber,C31,Piassa Arada ↔ Dil Ber
40,0,10479678,10479676,0,Shero Meda,B37,Shero Meda ↔ Autobis Tera (3)
41,0,10479678,10479677,1,Autobis Tera (3),B37,Shero Meda ↔ Autobis Tera (3)
42,0,10480005,10480003,0,Autobis Tera (1),B19,Autobis Tera (1) ↔ Abo Junction
43,0,10480005,10480004,1,Abo Junction,B19,Autobis Tera (1) ↔ Abo Junction
44,0,10480336,10480334,0,Mexico,A09,Mexico ↔ Alem Bank
45,0,10480336,10480335,1,Alem Bank,A09,Mexico ↔ Alem Bank
46,0,10521543,10521541,0,Koye Feche,D52,Koye Feche ↔ Megenagna
47,0,10521543,10521542,1,Megenagna,D52,Koye Feche ↔ Megenagna
48,0,10521610,10521609,0,Summit Condominiums,D25,Summit Condominiums ↔ Megenagna Terminal
